TAZ,Poly,Area,Weight,GenEdge,PedEdge
-832,-60916,184,0.0008327072943348751,--61093,--61093
-832,-60840,360,0.0016292099236986685,-60056#1,-60056#1
-832,-60025,144,0.0006516839694794674,--63799#1,--63799#1
-832,-61220,3786,0.01713385769756433,-63429#2,-61905#0
-832,-63739,237,0.0010725631997682901,--61928,--61928
-832,-61241,477,0.002158703148900736,--59981,--59981
-832,-60710,347,0.0015703773431206612,-60158#3,-60158#3
-832,-61080,1066,0.004824271607396613,--60427#5,--60427#5
-832,-63145,322,0.0014572377650860313,-61711#1,--63402#4
-832,-63229,914,0.004136382972946064,-63429#3,--63165#0
-832,-60049,153,0.0006924142175719341,-61435#2,-61435#2
-832,-60822,292,0.0013214702714444756,-63429#4,-60247
-832,-62581,438,0.0019822054071667134,-63764#4,-63764#4
-832,-63366,161,0.0007286188825430157,-61850,-61850
-832,-59874,256,0.0011585492790746087,-63410,-63410
-832,-61649,382,0.0017287727523691428,-62131#4,-62131#4
-832,-63098,1658,0.007503416815256646,-63429#3,--60247
-832,-62291,337,0.0015251215119068092,--61976#1,--61976#1
-832,-62883,1515,0.006856258428898564,--63764#5,--63764#5
-832,-62378,462,0.002090819402079958,-63566,-63566
-832,-62875,532,0.0024076102205769214,-63429#4,-62873#1
-832,-63133,288,0.0013033679389589348,-62739,-62739
-832,-59782,1746,0.007901668129938543,--63764#2,-63673
-832,-61317,175,0.0007919770462424084,--63799#2,--63799#2
-832,-62884,667,0.003018563941963922,--63764#3,-60804
-832,-63451,200,0.0009051166242770381,-62133#3,-62133#3
-832,-62568,230,0.001040884117918594,-59804#1,-59804#1
-832,-62166,959,0.004340034213408397,-60158#1,-60158#1
-832,-62868,272,0.0012309586090167718,--63672#2,--63672#2
-832,-63341,158,0.0007150421331788601,-60494,-60494
-832,-61185,361,0.0016337355068200537,--62449,--62449
-832,-63239,4771,0.021591557072128745,-59725,-63560
-832,-62150,191,0.0008643863761845714,-63429#4,-60247
-832,-62271,457,0.002068191486473032,-63429#4,--60247
-832,-60570,136,0.0006154793045083859,--63799#2,--63799#2
-832,-64041,597,0.0027017731234669586,--63672#0,--63672#0
-832,-62949,327,0.0014798656806929572,-63429#4,-62873#1
-832,-60533,231,0.001045409701039979,-59804#3,-59804#3
-832,-62934,1208,0.00546690441063331,--62449,--62449
-832,-59953,265,0.0011992795271670755,-60625#1,-60625#1
-832,-61071,174,0.0007874514631210232,-64069#1,-61299
-832,-62321,1353,0.006123113963234163,-60129#2,-60129#2
-832,-63631,203,0.0009186933736411937,--60764,--60764
-832,-60193,798,0.003611415330865382,-60129#2,-60129#2
-832,-60812,702,0.003176959351212404,-63429#4,-63429#4
-832,-63339,2919,0.01321017713132337,--60764,--60764
-832,-63869,304,0.001375777268901098,-63429#4,-60247
-832,-61227,485,0.0021949078138718174,-63429#4,-60247
-832,-60499,281,0.0012716888571092386,--62131#4,--62131#4
-832,-63121,1844,0.008345175275834291,-60129#2,-60129#2
-832,-63177,289,0.00130789352208032,-63429#4,-60247
-832,-62742,229,0.0010363585347972087,--59804#3,--59804#3
-832,-61119,1205,0.005453327661269155,-62107#1,-62107#1
-832,-62132,146,0.0006607351357222378,--60821#0,--60821#0
-832,-60270,295,0.001335047020808631,--62131#3,--62131#3
-832,-62504,309,0.0013984051845080238,-62131#4,-62131#4
-832,-60586,510,0.002308047391906447,-60129#2,--63165#1
-832,-61935,235,0.0010635120335255198,-60742#0,-61737
-832,-63450,750,0.0033941873410388928,-63986#2,-60421#3
-832,-60366,611,0.0027651312871663516,-60129#2,--63165#1
-832,-61921,712,0.0032222151824262556,--62140#1,--62140#1
-832,-60621,152,0.000687888634450549,-63429#4,-60247
-832,-60500,6497,0.029402713539639583,-60526#4,-60526#4
-832,-63965,990,0.0044803272901713384,-62140#1,-62140#1
-832,-60724,1027,0.00464777386566259,-63067#5,-63067#5
-832,-62337,1026,0.004643248282541206,-62739,-62739
-832,-60574,207,0.0009367957061267345,-62279#5,-62756#2
-832,-60035,279,0.0012626376908664682,--59858#2,--59858#2
-832,-62807,350,0.0015839540924848167,-60427#5,-60427#5
-832,-60561,2330,0.010544608672827494,--60427#4,--60427#4
-832,-61931,150,0.0006788374682077786,--63799#1,--63799#1
-832,-60825,233,0.0010544608672827494,-62070,-62070
-832,-61424,460,0.002081768235837188,--60056#0,--60056#0
-832,-61866,852,0.003855796819420182,--62140#3,--62140#3
-832,-60254,178,0.0008055537956065639,-62746,-62746
-832,-62537,601,0.0027198754559524994,-62739,-62739
